Time Period,Measure,Persons,Males,Females,Age
2011,NOM departures,"57,310","31,020","26,290",25-29
2011,NOM departures,"29,380","16,040","13,340",30-34
2011,NOM departures,"17,460","9,690","7,770",35-39
2011,NOM departures,"12,510","7,170","5,340",40-44
2011,NOM departures,"9,820","5,600","4,220",45-49
2011,NOM departures,"8,020","4,450","3,570",50-54
2011,NOM departures,"6,840","3,760","3,080",55-59
2011,NOM departures,"5,780","3,040","2,740",60-64
2011,NOM departures,"9,540","5,010","4,530",65 and over
2012,NOM arrivals,"478,350","247,130","231,230", ages
2012,NOM arrivals,"38,080","20,310","17,770",15-19
2012,NOM arrivals,"90,850","46,170","44,680",20-24
2012,NOM arrivals,"95,930","47,420","48,510",25-29
2012,NOM arrivals,"58,770","30,960","27,810",30-34
2012,NOM arrivals,"36,580","19,790","16,790",35-39
2012,NOM arrivals,"26,650","14,390","12,260",40-44
2012,NOM arrivals,"17,210","9,580","7,630",45-49
2012,NOM arrivals,"12,030","6,270","5,770",50-54
2012,NOM arrivals,"9,930","4,900","5,030",55-59
2012,NOM arrivals,"7,540","3,820","3,720",60-64
2012,NOM arrivals,"10,830","5,320","5,510",65 and over
2012,NOM departures,"238,110","127,460","110,640", ages
2012,NOM departures,"8,210","4,380","3,840",15-19
2012,NOM departures,"47,340","24,280","23,060",20-24
2012,NOM departures,"55,930","29,980","25,960",25-29
2012,NOM departures,"30,020","16,270","13,750",30-34
2012,NOM departures,"16,870","9,400","7,470",35-39
2012,NOM departures,"12,230","6,940","5,290",40-44
2012,NOM departures,"9,190","5,400","3,790",45-49
2012,NOM departures,"7,580","4,240","3,340",50-54
2012,NOM departures,"6,460","3,460","3,000",55-59
2012,NOM departures,"5,130","2,750","2,370",60-64
2012,NOM departures,"8,770","4,730","4,050",65 and over
2013,NOM arrivals,"478,680","240,430","238,260", ages
2013,NOM arrivals,"40,640","21,280","19,360",15-19
2013,NOM arrivals,"96,030","48,250","47,770",20-24
2013,NOM arrivals,"96,490","46,130","50,360",25-29
2013,NOM arrivals,"56,780","28,750","28,030",30-34
2013,NOM arrivals,"33,050","16,960","16,090",35-39
2013,NOM arrivals,"23,600","12,230","11,370",40-44
2013,NOM arrivals,"15,250","8,030","7,220",45-49
2013,NOM arrivals,"11,610","5,740","5,870",50-54
2013,NOM arrivals,"10,120","4,700","5,420",55-59
2013,NOM arrivals,"8,590","4,090","4,500",60-64
2013,NOM arrivals,"14,900","7,320","7,580",65 and over
2013,NOM departures,"270,310","146,370","123,940", ages
2013,NOM departures,"8,960","4,720","4,240",15-19
2013,NOM departures,"49,130","25,520","23,610",20-24
2013,NOM departures,"63,230","34,820","28,420",25-29
2013,NOM departures,"36,200","19,990","16,210",30-34
2013,NOM departures,"19,250","10,980","8,280",35-39
2013,NOM departures,"14,220","8,150","6,070",40-44
2013,NOM departures,"10,440","5,950","4,490",45-49
2013,NOM departures,"8,970","5,100","3,870",50-54
2013,NOM departures,"7,920","4,290","3,630",55-59
2013,NOM departures,"6,730","3,560","3,170",60-64
2013,NOM departures,"12,260","6,560","5,700",65 and over
2014,NOM arrivals,"458,760","231,520","227,230", ages
2014,NOM arrivals,"44,210","23,650","20,560",15-19
2014,NOM arrivals,"98,810","51,130","47,680",20-24
2014,NOM arrivals,"92,760","43,970","48,790",25-29
2014,NOM arrivals,"55,040","27,600","27,440",30-34
2014,NOM arrivals,"30,010","15,360","14,650",35-39
2014,NOM arrivals,"20,970","10,610","10,360",40-44
2014,NOM arrivals,"13,670","7,120","6,550",45-49
2014,NOM arrivals,"10,460","5,190","5,280",50-54
2014,NOM arrivals,"9,160","4,220","4,940",55-59
2014,NOM arrivals,"7,490","3,680","3,820",60-64
2014,NOM arrivals,"10,640","5,330","5,310",65 and over
2014,NOM departures,"276,410","148,590","127,830", ages
2014,NOM departures,"9,240","4,780","4,460",15-19
2014,NOM departures,"49,970","25,520","24,460",20-24
2014,NOM departures,"67,370","36,390","30,980",25-29
